Name,Date of Birth,Gender,Date of Death,Movie Title,Year
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,MTV Movie & TV Awards,2018
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Critics' Choice Television Awards,2019
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,MTV Movie & TV Awards,2021
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Critics' Choice Television Awards,2022
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Kids' Choice Awards,2023
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Golden Globe Awards,2024
Chris Hemsworth,11 August 1983,Unknown,N/A,Star Trek,2009
Chris Hemsworth,11 August 1983,Unknown,N/A,Ca$h,2010
Chris Hemsworth,11 August 1983,Unknown,N/A,Thor,2011
Chris Hemsworth,11 August 1983,Unknown,N/A,The Cabin in the Woods,2012
Chris Hemsworth,11 August 1983,Unknown,N/A,Star Trek Into Darkness,2013
Chris Hemsworth,11 August 1983,Unknown,N/A,Blackhat,2015
Chris Hemsworth,11 August 1983,Unknown,N/A,The Huntsman: Winter's War,2016
Chris Hemsworth,11 August 1983,Unknown,N/A,Team Thor: Part 2,2017
Chris Hemsworth,11 August 1983,Unknown,N/A,12 Strong,2018
Chris Hemsworth,11 August 1983,Unknown,N/A,Avengers: Endgame,2019
Chris Hemsworth,11 August 1983,Unknown,N/A,Extraction,2020
Chris Hemsworth,11 August 1983,Unknown,N/A,Interceptor,2022
Chris Hemsworth,11 August 1983,Unknown,N/A,Extraction 2,2023
Chris Hemsworth,11 August 1983,Unknown,N/A,Furiosa: A Mad Max Saga,2024
Chris Hemsworth,11 August 1983,Unknown,N/A,Guinevere Jones,2002
Chris Hemsworth,11 August 1983,Unknown,N/A,The Saddle Club,2003
Chris Hemsworth,11 August 1983,Unknown,N/A,Fergus McPhail,2004
Chris Hemsworth,11 August 1983,Unknown,N/A,Dancing with the Stars,2006
Chris Hemsworth,11 August 1983,Unknown,N/A,Saturday Night Live,2015
Chris Hemsworth,11 August 1983,Unknown,N/A,Loki,2021
Chris Hemsworth,11 August 1983,Unknown,N/A,Limitless with Chris Hemsworth,2022
Chris Hemsworth,11 August 1983,Unknown,N/A,Thor: God of Thunder,2011
Chris Hemsworth,11 August 1983,Unknown,N/A,Lego Dimensions,2015
Chris Hemsworth,11 August 1983,Unknown,N/A,Ghostbusters,2016
Chris Hemsworth,11 August 1983,Unknown,N/A,Logie Awards[128][129],2005
Chris Hemsworth,11 August 1983,Unknown,N/A,Digital Spy Reader Awards[130],2008
Chris Hemsworth,11 August 1983,Unknown,N/A,Teen Choice Awards,2011
Chris Hemsworth,11 August 1983,Unknown,N/A,British Academy Film Awards,2012
Chris Hemsworth,11 August 1983,Unknown,N/A,Favorite Movie Superhero,People's Choice Awards
Chris Hemsworth,11 August 1983,Unknown,N/A,People's Choice Awards,2013
Chris Hemsworth,11 August 1983,Unknown,N/A,Teen Choice Awards,2014
Chris Hemsworth,11 August 1983,Unknown,N/A,Teen Choice Awards,2015
Chris Hemsworth,11 August 1983,Unknown,N/A,People's Choice Awards,2016
Chris Hemsworth,11 August 1983,Unknown,N/A,People's Choice Awards,2017
Chris Hemsworth,11 August 1983,Unknown,N/A,Critics' Choice Awards[131],2018
Chris Hemsworth,11 August 1983,Unknown,N/A,People's Choice Awards,2020
Chris Hemsworth,11 August 1983,Unknown,N/A,Critics' Choice Super Awards[132],2021
Chris Hemsworth,11 August 1983,Unknown,N/A,Kids' Choice Awards,2023
Zoe Saldana,"June 19, 1978",Unknown,N/A,Center Stage,2000
Zoe Saldana,"June 19, 1978",Unknown,N/A,Get Over It,2001
Zoe Saldana,"June 19, 1978",Unknown,N/A,Crossroads,2002
Zoe Saldana,"June 19, 1978",Unknown,N/A,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Zoe Saldana,"June 19, 1978",Unknown,N/A,The Terminal,2004
Zoe Saldana,"June 19, 1978",Unknown,N/A,Constellation,2005
Zoe Saldana,"June 19, 1978",Unknown,N/A,Premium,2006
Zoe Saldana,"June 19, 1978",Unknown,N/A,After Sex,2007
Zoe Saldana,"June 19, 1978",Unknown,N/A,Vantage Point,2008
Zoe Saldana,"June 19, 1978",Unknown,N/A,Star Trek,2009
Zoe Saldana,"June 19, 1978",Unknown,N/A,The Losers,2010
Zoe Saldana,"June 19, 1978",Unknown,N/A,Colombiana,2011
Zoe Saldana,"June 19, 1978",Unknown,N/A,The Words,2012
Zoe Saldana,"June 19, 1978",Unknown,N/A,Blood Ties,2013
Zoe Saldana,"June 19, 1978",Unknown,N/A,Unity,2014
Zoe Saldana,"June 19, 1978",Unknown,N/A,Nina,2016
Zoe Saldana,"June 19, 1978",Unknown,N/A,Guardians of the Galaxy Vol. 2,2017
Zoe Saldana,"June 19, 1978",Unknown,N/A,Avengers: Infinity War,2018
Zoe Saldana,"June 19, 1978",Unknown,N/A,Missing Link,2019
Zoe Saldana,"June 19, 1978",Unknown,N/A,Vampires vs. the Bronx,2020
Zoe Saldana,"June 19, 1978",Unknown,N/A,Vivo,2021
Zoe Saldana,"June 19, 1978",Unknown,N/A,The Adam Project,2022
Zoe Saldana,"June 19, 1978",Unknown,N/A,Guardians of the Galaxy Vol. 3,2023
Zoe Saldana,"June 19, 1978",Unknown,N/A,Emilia Pérez,2024
Zoe Saldana,"June 19, 1978",Unknown,N/A,Elio †,2025
Zoe Saldana,"June 19, 1978",Unknown,N/A,Avatar 4 †,2029
Zoe Saldana,"June 19, 1978",Unknown,N/A,Law & Order,1999
Zoe Saldana,"June 19, 1978",Unknown,N/A,Law & Order: Special Victims Unit,2004
Zoe Saldana,"June 19, 1978",Unknown,N/A,Comedy Bang! Bang!,2013
Zoe Saldana,"June 19, 1978",Unknown,N/A,Lip Sync Battle,2016
Zoe Saldana,"June 19, 1978",Unknown,N/A,MPower,2023
Zoe Saldana,"June 19, 1978",Unknown,N/A,Star Trek,2013
Zoe Saldana,"June 19, 1978",Unknown,N/A,Guardians of the Galaxy – Mission Breakout!,2017
Zoe Saldana,"June 19, 1978",Unknown,N/A,Guardians of the Galaxy: Cosmic Rewind,2022
Zoe Saldana,"June 19, 1978",Unknown,N/A,MTV Movie Awards,2003
Zoe Saldana,"June 19, 1978",Unknown,N/A,Teen Choice Awards,2005
Zoe Saldana,"June 19, 1978",Unknown,N/A,Black Reel Awards,2006
Zoe Saldana,"June 19, 1978",Unknown,N/A,ALMA Awards,2009
Zoe Saldana,"June 19, 1978",Unknown,N/A,Image Awards,2010
Zoe Saldana,"June 19, 1978",Unknown,N/A,ALMA Awards,2011
Zoe Saldana,"June 19, 1978",Unknown,N/A,BET Awards,2012
Zoe Saldana,"June 19, 1978",Unknown,N/A,Teen Choice Awards,2013
Zoe Saldana,"June 19, 1978",Unknown,N/A,Black Reel Awards,2015
Zoe Saldana,"June 19, 1978",Unknown,N/A,Nickelodeon Kids' Choice Awards,2016
Zoe Saldana,"June 19, 1978",Unknown,N/A,Teen Choice Awards,2017
Zoe Saldana,"June 19, 1978",Unknown,N/A,Choice Liplock (shared with Chris Pratt),2018
Zoe Saldana,"June 19, 1978",Unknown,N/A,Nickelodeon Kids' Choice Awards,2019
Zoe Saldana,"June 19, 1978",Unknown,N/A,Image Awards,2022
Zoe Saldana,"June 19, 1978",Unknown,N/A,Black Reel Awards,2023
Zoe Saldana,"June 19, 1978",Unknown,N/A,Cannes Film Festival,2024
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Rough Trade,1992
Mark Ruffalo,"November 22, 1967",Unknown,N/A,"Mirror, Mirror II: Raven Dance",1994
Mark Ruffalo,"November 22, 1967",Unknown,N/A,"Mirror, Mirror III: The Voyeur",1995
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Destiny of Marty Fine,1996
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Safe Men,1998
Mark Ruffalo,"November 22, 1967",Unknown,N/A,How Does Anyone Get Old?,1999
Mark Ruffalo,"November 22, 1967",Unknown,N/A,You Can Count on Me,2000
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Last Castle,2001
Mark Ruffalo,"November 22, 1967",Unknown,N/A,XX/XY,2002
Mark Ruffalo,"November 22, 1967",Unknown,N/A,My Life Without Me,2003
Mark Ruffalo,"November 22, 1967",Unknown,N/A,We Don't Live Here Anymore,2004
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Just like Heaven,2005
Mark Ruffalo,"November 22, 1967",Unknown,N/A,All the King's Men,2006
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Chicago 10,2007
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Blindness,2008
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Brothers Bloom,2009
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Kids Are All Right,2010
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Margaret,2011
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Avengers,2012
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Iron Man 3,2013
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Infinitely Polar Bear,2014
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Avengers: Age of Ultron,2015
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Now You See Me 2,2016
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Anything,2017
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Avengers: Infinity War,2018
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Captain Marvel,2019
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Shang-Chi and the Legend of the Ten Rings,2021
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Adam Project,2022
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Poor Things,2023
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Mickey 17,2025
Mark Ruffalo,"November 22, 1967",Unknown,N/A,CBS Summer Playhouse,1989
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Due South,1994
Mark Ruffalo,"November 22, 1967",Unknown,N/A,On the 2nd Day of Christmas,1997
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Houdini,1998
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Beat,2000
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Sesame Street,2011
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Normal Heart,2014
Mark Ruffalo,"November 22, 1967",Unknown,N/A,I Know This Much Is True,2020
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Little Demon,2022
Mark Ruffalo,"November 22, 1967",Unknown,N/A,All the Light We Cannot See,2023
Mark Ruffalo,"November 22, 1967",Unknown,N/A,This Is Our Youth,1996
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Moment When,1999
Mark Ruffalo,"November 22, 1967",Unknown,N/A,Awake and Sing!,2006
Mark Ruffalo,"November 22, 1967",Unknown,N/A,The Price,2017
Mark Ruffalo,"November 22, 1967",Unknown,N/A,"""Imagine""",2020
Natalie Portman,"June 9, 1981",Unknown,N/A,Léon: The Professional,1994
Natalie Portman,"June 9, 1981",Unknown,N/A,Developing,1995
Natalie Portman,"June 9, 1981",Unknown,N/A,Everyone Says I Love You,1996
Natalie Portman,"June 9, 1981",Unknown,N/A,Where the Heart Is,2000
Natalie Portman,"June 9, 1981",Unknown,N/A,Zoolander,2001
Natalie Portman,"June 9, 1981",Unknown,N/A,Cold Mountain,2003
Natalie Portman,"June 9, 1981",Unknown,N/A,Garden State,2004
Natalie Portman,"June 9, 1981",Unknown,N/A,Domino One,2005
Natalie Portman,"June 9, 1981",Unknown,N/A,V for Vendetta,2006
Natalie Portman,"June 9, 1981",Unknown,N/A,My Blueberry Nights,2007
Natalie Portman,"June 9, 1981",Unknown,N/A,The Other Boleyn Girl,2008
Natalie Portman,"June 9, 1981",Unknown,N/A,The Other Woman,2009
Natalie Portman,"June 9, 1981",Unknown,N/A,Hesher,2010
Natalie Portman,"June 9, 1981",Unknown,N/A,No Strings Attached,2011
Natalie Portman,"June 9, 1981",Unknown,N/A,Illusions & Mirrors,2013
Natalie Portman,"June 9, 1981",Unknown,N/A,The Seventh Fire,2015
Natalie Portman,"June 9, 1981",Unknown,N/A,Pride and Prejudice and Zombies,2016
Natalie Portman,"June 9, 1981",Unknown,N/A,Song to Song,2017
Natalie Portman,"June 9, 1981",Unknown,N/A,Annihilation,2018
Natalie Portman,"June 9, 1981",Unknown,N/A,Avengers: Endgame,2019
Natalie Portman,"June 9, 1981",Unknown,N/A,Thor: Love and Thunder,2022
Natalie Portman,"June 9, 1981",Unknown,N/A,May December,2023
Natalie Portman,"June 9, 1981",Unknown,N/A,The Twits †,2025
Natalie Portman,"June 9, 1981",Unknown,N/A,Sesame Street,2003
Natalie Portman,"June 9, 1981",Unknown,N/A,Saturday Night Live,2006
Natalie Portman,"June 9, 1981",Unknown,N/A,The Simpsons,2007
Natalie Portman,"June 9, 1981",Unknown,N/A,The Simpsons,2012
Natalie Portman,"June 9, 1981",Unknown,N/A,Angie Tribeca,2017
Natalie Portman,"June 9, 1981",Unknown,N/A,Saturday Night Live,2018
Natalie Portman,"June 9, 1981",Unknown,N/A,What If...?,2021
Natalie Portman,"June 9, 1981",Unknown,N/A,Secrets of the Elephants,2023
Natalie Portman,"June 9, 1981",Unknown,N/A,The Seagull,2001
Natalie Portman,"June 9, 1981",Unknown,N/A,Natalie's Rap,2006
Natalie Portman,"June 9, 1981",Unknown,N/A,Dance Tonight,2007
Natalie Portman,"June 9, 1981",Unknown,N/A,Carmensita,2008
